,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,OrigCountry,DestCountry,isFraud,Flag
0,TRANSFER,996.0,C1839206329,46132.0,45136.0,C998351292,88106.55,1015132.48,UNITED KINGDOM,SINGAPORE,0,green
1,TRANSFER,2061082.82,C2007599722,0.0,0.0,C1590550415,14939915.42,19169204.93,MONTENEGRO,LUXEMBOURG,0,green
2,TRANSFER,983479.66,C2029780820,0.0,0.0,C1170794006,3131440.16,22190.99,GREECE,SWITZERLAND,0,green
3,TRANSFER,635507.97,C65080774,0.0,0.0,C747464370,834457.23,1567434.81,PORTUGAL,CANADA,0,green
4,TRANSFER,848231.57,C2116179210,0.0,0.0,C1170794006,4114919.82,22190.99,SPAIN,COLOMBIA,0,green
5,TRANSFER,739112.93,C1172535934,0.0,0.0,C564160838,1141158.73,1254956.07,ISRAEL,INDONESIA,0,green
6,TRANSFER,324397.94,C1648700617,0.0,0.0,C932583850,373058.79,2719172.89,LITHUANIA,BARBADOS,0,green
7,TRANSFER,982862.81,C1765900922,0.0,0.0,C985934102,2187842.49,971418.91,DENMARK,TURKEY,0,green
8,TRANSFER,955855.0,C94830685,0.0,0.0,C248609774,1179112.54,6453430.91,SLOVENIA,"MACAO SAR, CHINA",0,green
9,TRANSFER,179253.24,C1539947037,0.0,0.0,C1870252780,179614.1,46462.23,SWEDEN,UZBEKISTAN,0,green
10,TRANSFER,5446.88,C270661321,666.0,0.0,M1964434661,0.0,0.0,NEW ZEALAND,ALBANIA,0,green
11,TRANSFER,648.64,C1217312754,873.0,224.36,M1585571244,0.0,0.0,NORWAY,PHILIPPINES,0,green
12,TRANSFER,8494.71,C1099552523,11129.0,2634.29,M66724371,0.0,0.0,COOK ISLANDS,BELIZE,0,green
13,CASH_OUT,373068.26,C1047934137,20034.0,0.0,C1286084959,1427960.73,2107778.11,BULGARIA,BOSNIA-HERZEGOVINA,0,green
14,CASH_IN,143236.26,C1862994526,0.0,143236.26,C1688019098,608932.17,97263.78,FINLAND,SEYCHELLES,0,green
15,CASH_IN,228451.89,C1614133563,143236.26,371688.15,C2083562754,719678.38,1186556.81,MALAYSIA,MARSHALL ISLANDS,0,green
16,CASH_IN,35902.49,C839771540,371688.15,407590.65,C2001112025,49003.3,0.0,AZERBAIJAN,HONDURAS,0,green
17,CASH_IN,232953.64,C1037163664,407590.65,640544.28,C33524623,1172672.27,1517262.16,UKRAINE,MOROCCO,0,green
18,CASH_IN,38071.17,C1659286984,3633549.82,3671620.98,C601893033,122487.0,54985.05,BULGARIA,JAMAICA,0,green
19,CASH_IN,87117.29,C1064905627,3671620.98,3758738.27,C75457651,501093.89,31469.78,FINLAND,JORDAN,0,green
20,CASH_IN,114271.72,C2072130509,3758738.27,3873009.99,C985934102,3170705.3,971418.91,ANDORRA,PANAMA,0,green
21,CASH_IN,73199.1,C1260440107,3873009.99,3946209.08,C1749186397,401926.25,277515.05,ESTONIA,FRANCE,0,green
22,CASH_IN,764772.98,C482307698,3946209.08,4710982.07,C985934102,3056433.58,971418.91,ECUADOR,DOMINICA,0,green
23,CASH_IN,106847.36,C1793899405,4710982.07,4817829.42,C575335780,335711.51,52415.15,GHANA,AUSTRALIA,0,green
24,TRANSFER,303473.14,C900824070,798.0,0.0,C790722099,0.0,303473.14,EL SALVADOR,CHILE,0,green
25,TRANSFER,3949.99,C800218956,5533.0,1583.01,C1668376627,209201.42,195932.4,SOUTH AFRICA,MONTENEGRO,0,green
26,TRANSFER,740.95,C1739806152,782.0,41.05,M948315053,0.0,0.0,CYPRUS,GREECE,0,green
27,TRANSFER,8416.21,C107632469,56060.58,47644.38,M1998224723,0.0,0.0,ROMANIA,PORTUGAL,0,green
28,TRANSFER,414959.03,C2010426450,0.0,0.0,C1916720513,6375632.67,6235766.54,JORDAN,SPAIN,0,green
29,TRANSFER,317831.06,C703824017,0.0,0.0,C1789550256,3964356.31,2943614.6,PANAMA,ISRAEL,0,green
30,TRANSFER,548202.26,C371054890,0.0,0.0,C453211571,3726770.23,3809570.13,UNITED ARAB EMIRATES,LITHUANIA,0,green
31,TRANSFER,180173.39,C2009317431,0.0,0.0,C2134357721,280908.87,182906.2,BANGLADESH,DENMARK,0,green
